algo,n,seed,trial,elapsed_ns,comparisons,swaps,allocations,maxDepth,cutoff
mergesort,10000,42,0,4374125,120156,0,1,10,16
mergesort,10000,42,1,4724916,120071,0,1,10,16
mergesort,10000,42,2,4310250,120440,0,1,10,16
mergesort,10000,42,3,9957166,120318,0,1,10,16
mergesort,10000,42,4,10072750,119821,0,1,10,16
mergesort,10000,42,0,4700542,120156,0,1,10,16
mergesort,10000,42,1,4782833,120071,0,1,10,16
mergesort,10000,42,2,4203833,120440,0,1,10,16
mergesort,10000,42,3,10047958,120318,0,1,10,16
mergesort,10000,42,4,10340292,119821,0,1,10,16
mergesort,10000,42,0,4548250,120156,0,1,10,16
mergesort,10000,42,1,4832041,120071,0,1,10,16
mergesort,10000,42,2,4196833,120440,0,1,10,16
mergesort,10000,42,3,9862333,120318,0,1,10,16
mergesort,10000,42,4,9966667,119821,0,1,10,16
mergesort,10000,42,0,4598250,120156,0,1,10,16
mergesort,10000,42,1,4817750,120071,0,1,10,16
mergesort,10000,42,2,4204959,120440,0,1,10,16
mergesort,10000,42,3,9986917,120318,0,1,10,16
mergesort,10000,42,4,10005709,119821,0,1,10,16
mergesort,10000,42,0,4369666,120188,0,1,10,16
mergesort,10000,42,1,4361834,119837,0,1,10,16
mergesort,10000,42,2,4178166,120049,0,1,10,16
mergesort,10000,42,3,8213334,119754,0,1,10,16
mergesort,10000,42,4,9968541,120249,0,1,10,16
mergesort,10000,42,0,4189000,120156,0,1,10,16
mergesort,10000,42,1,2695959,120071,0,1,10,16
mergesort,10000,42,2,3347000,120440,0,1,10,16
mergesort,10000,42,3,3439917,120318,0,1,10,16
mergesort,10000,42,4,4118708,119821,0,1,10,16
